"QID","QTYPE","ANSWER"
"D001Q01","基礎題","北宋"
"D001Q02","基礎題","四川省"
"D001Q03","基礎題","蘇洵"
"D001Q04","進階題","蘇軾"
"D001Q05","基礎題","王宗稷"
"D001Q06","進階題","唐代"
"D001Q07","進階題","否"
"D001Q08","進階題","端明殿學士、翰林學士及禮部尚書"
"D001Q09","基礎題","南宋"
"D001Q11","申論",""
"D002Q01","基礎題","蜀"
"D002Q02","進階題","1037年"
"D002Q03","基礎題","蘇轍"
"D002Q04","基礎題","刑賞忠厚之至論"
"D002Q05","進階題","否"
"D002Q06","基礎題","否"
"D002Q08","基礎題","神宗"
"D002Q09","進階題","否"
"D002Q10","進階題","范鎮"
"D003Q01","基礎題","否"
"D003Q03","進階題","太皇太后曹氏與王安禮等人;太皇太后曹氏與王安禮"
"D003Q04","基礎題","黃州;湖北省黃岡市;湖北省;黃岡市"
"D003Q05","基礎題","徐州"
"D003Q06","進階題","張懷民與佛印"
"D003Q07","基礎題","黃河決口"
"D004Q01","基礎題","禮部郎中、中書舍人、翰林學士、龍圖閣學士、知州與禮部尚書"
"D004Q02","基礎題","杭州、潁州、惠州、儋州（海南島）;杭州、潁州、惠州、海南島;杭州、潁州、惠州、儋州"
"D004Q03","進階題","儋州;海南島;儋州（海南島）"
"D004Q04","進階題","元符三年;1100年;元符三年（1100年）"
"D004Q06","基礎題","常州"
"D004Q07","基礎題","郟縣小峨眉山;郟縣;小峨眉山"
"D004Q08","進階題","反對"
"D004Q09","進階題","是"
"D004Q10","進階題","否"
"D006Q01","基礎題","外交政策;《外交政策》雜誌;《外交政策》"
"D006Q02","申論",""
"D006Q03","基礎題","突尼西亞"
"D006Q04","基礎題","伊斯蘭國"
"D007Q02","基礎題","「民主」和「經濟」;民主和經濟"
"D007Q03","基礎題","公開示威遊行和網絡串連"
"D007Q04","進階題","突尼西亞、埃及、利比亞、葉門、敘利亞、阿爾及利亞、蘇丹、巴林、沙烏地阿拉伯、阿曼、伊拉克、茅利塔尼亞、約旦、摩洛哥、科威特以及黎巴嫩"
"D007Q05","進階題","臉書、推特以及YouTube"
"D008Q01","基礎題","穆罕默德·布瓦吉吉"
"D008Q02","基礎題","突尼西亞"
"D008Q04","基礎題","班·阿里"
"D008Q05","基礎題","沙烏地阿拉伯"
"D008Q06","進階題","突尼西亞、埃及、利比亞、葉門、阿爾及利亞及蘇丹"
"D008Q07","基礎題","穆巴拉克"
"D008Q08","基礎題","格達費"
"D008Q09","基礎題","薩利赫"
"D008Q10","基礎題","布特弗利卡"
"D008Q11","基礎題","巴希爾"
"D009Q01","基礎題","紐約市;紐約"
"D009Q02","基礎題","加拿大反消費主義組織廣告克星;廣告克星"
"D009Q03","申論",""
"D009Q04","進階題","華盛頓特區、舊金山、洛杉磯、芝加哥、波士頓、波特蘭、阿布奎基、坦帕、夏洛特、西雅圖、丹佛和緬因州波特蘭"
"D010Q01","基礎題","2010年末;2010年"
"D010Q02","基礎題","突尼西亞"
"D010Q03","基礎題","突尼西亞"
"D010Q04","基礎題","西迪布吉德起義及尊嚴革命;「西迪布吉德起義」（ثورة سيدي بوزيد‎，Sidi Bouzid Revolt） 及「尊嚴革命」（ثورة الكرامة‎，Dignity Revolution;「西迪布吉德起義」及「尊嚴革命」; Sidi Bouzid Revolt and Dignity Revolution"
"D010Q05","基礎題","「Twitter革命」或「WikiLeaks革命」;Twitter革命或WikiLeaks革命"
